frame,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,361.14,61.15,441.53,163.93,264.43,164.51,462.23,298.37,237.73,308.2,460.52,435.94,241.6,454.32,420.72,447.71,297.99,448.95,-1,-1,-1,-1,-1,-1,-1,-1
1,362.06,61.46,444.25,166.81,265.61,163.93,467.44,302.95,235.66,303.75,470.54,441.88,250.79,447.19,420.23,453.58,297.84,454.37,-1,-1,-1,-1,-1,-1,-1,-1
2,371.17,68.68,447.58,171.25,280.24,167.73,469.97,298.87,247.66,298.0,478.63,430.88,256.42,426.28,426.94,441.83,310.09,442.3,-1,-1,-1,-1,-1,-1,-1,-1
3,374.64,71.43,448.86,171.26,285.27,169.41,470.91,296.36,252.25,299.75,483.24,422.9,258.37,426.76,426.66,436.56,312.73,437.79,-1,-1,-1,-1,-1,-1,-1,-1
4,377.62,72.32,451.79,171.05,288.8,172.6,473.32,293.45,257.74,301.27,484.97,417.08,259.87,421.39,432.02,431.21,318.26,433.86,-1,-1,-1,-1,-1,-1,-1,-1
5,379.86,74.94,454.39,172.27,291.01,173.77,475.49,292.42,260.53,302.87,484.67,414.11,262.48,425.45,432.46,431.29,318.3,433.65,-1,-1,-1,-1,-1,-1,-1,-1
6,383.41,77.26,456.75,174.07,295.65,175.98,478.66,291.13,267.58,300.59,486.52,412.85,263.4,420.42,433.16,423.56,320.09,425.41,-1,-1,-1,-1,-1,-1,-1,-1
7,387.56,80.3,459.56,173.93,299.27,173.03,481.52,295.67,273.31,295.74,488.61,416.35,272.44,406.78,429.24,415.32,319.4,414.99,-1,-1,-1,-1,-1,-1,-1,-1
8,391.44,85.43,464.1,177.45,307.22,174.44,484.42,295.72,278.78,293.02,492.56,415.09,284.37,400.13,435.77,412.52,329.72,411.95,-1,-1,-1,-1,-1,-1,-1,-1
9,395.33,85.65,465.18,178.98,310.97,175.52,485.66,295.21,281.75,292.73,495.91,413.53,288.53,395.24,439.99,408.04,335.47,408.19,-1,-1,-1,-1,-1,-1,-1,-1
10,396.33,87.97,467.82,179.82,313.27,177.4,483.18,295.81,283.31,293.93,492.28,407.28,289.29,398.71,445.85,410.26,340.55,411.22,-1,-1,-1,-1,-1,-1,-1,-1
11,398.85,89.54,466.55,178.78,316.29,175.17,484.96,294.68,286.48,289.89,494.8,407.09,293.44,395.89,439.18,401.76,339.57,401.47,-1,-1,-1,-1,-1,-1,-1,-1
12,399.43,90.87,467.93,177.73,317.54,173.56,486.13,293.49,289.13,287.44,493.38,401.96,296.77,392.25,440.81,404.17,340.59,403.52,-1,-1,-1,-1,-1,-1,-1,-1
13,400.44,91.37,468.49,177.58,318.71,174.49,487.03,291.63,293.03,288.54,491.35,397.48,298.69,392.11,441.35,406.98,341.66,406.47,-1,-1,-1,-1,-1,-1,-1,-1
14,401.35,91.64,468.2,176.77,319.41,174.15,488.04,289.91,294.12,287.06,489.98,397.83,301.17,390.22,441.45,405.95,341.79,405.75,-1,-1,-1,-1,-1,-1,-1,-1
15,401.69,92.03,467.74,176.5,320.94,172.99,486.51,289.66,295.23,283.95,489.33,393.02,300.38,386.87,441.19,399.47,343.36,398.84,-1,-1,-1,-1,-1,-1,-1,-1
16,401.8,92.82,467.55,176.43,320.74,172.87,484.65,288.62,294.49,282.61,487.01,392.8,299.77,383.36,439.79,399.23,342.21,398.5,-1,-1,-1,-1,-1,-1,-1,-1
17,400.93,93.25,466.27,177.07,320.7,172.51,482.77,288.17,294.56,282.16,487.31,391.2,300.09,382.66,439.06,397.66,342.55,396.52,-1,-1,-1,-1,-1,-1,-1,-1
18,400.36,94.37,466.54,179.01,321.55,173.89,478.87,288.77,293.99,279.97,486.75,391.27,295.7,379.55,442.65,399.18,345.14,398.21,-1,-1,-1,-1,-1,-1,-1,-1
19,400.1,95.4,464.9,178.7,322.45,174.45,477.86,286.99,289.78,280.22,484.09,390.51,296.33,374.38,439.69,395.45,345.06,395.49,-1,-1,-1,-1,-1,-1,-1,-1
20,399.89,95.37,463.55,180.63,320.66,176.44,479.09,286.94,292.27,279.8,482.52,388.59,296.16,383.26,436.19,395.28,341.24,394.15,-1,-1,-1,-1,-1,-1,-1,-1
21,397.19,96.64,460.81,180.19,320.13,175.96,468.73,285.71,292.07,276.2,480.27,383.84,295.14,378.67,435.32,385.85,341.48,385.23,-1,-1,-1,-1,-1,-1,-1,-1
22,395.99,96.22,457.42,179.7,318.16,176.35,465.26,283.74,290.97,276.39,477.37,380.27,292.54,378.98,433.68,385.23,340.69,385.1,-1,-1,-1,-1,-1,-1,-1,-1
23,391.96,97.8,454.05,182.6,315.94,177.59,463.8,285.89,289.08,276.42,477.08,380.38,290.68,378.58,429.33,387.0,336.92,385.83,-1,-1,-1,-1,-1,-1,-1,-1
